id,group,label,links
"Begay,Victor Harvinn",MLFTC,"Begay,Victor Harvinn",2
"Bekki,Jennifer Mcneill",IAFSE,"Bekki,Jennifer Mcneill",3
"Bell III,James",CLAS,"Bell III,James",5
"Belyea,Michael John",CONHI,"Belyea,Michael John",2
"Ben Amor,Hani",IAFSE,"Ben Amor,Hani",3
"Benkert,Volker",CLAS,"Benkert,Volker",1
"Bennett,Gaymon L",CLAS,"Bennett,Gaymon L",2
"Bennett,Ira Mccoy",SFIS,"Bennett,Ira Mccoy",5
"Bennett,Michael George",SFIS,"Bennett,Michael George",1
"Berisha,Visar Shahin",IAFSE,"Berisha,Visar Shahin",8
"Berkel,Cady",CLAS,"Berkel,Cady",1
"Berman,Spring Melody",IAFSE,"Berman,Spring Melody",2
"Bernard,Harvey Russell",CLAS,"Bernard,Harvey Russell",1
"Bernstein,Bianca L",CISA,"Bernstein,Bianca L",2
"Bernstein,Katherine Arielle",MLFTC,"Bernstein,Katherine Arielle",2
"Bertoni,Mariana Ines",IAFSE,"Bertoni,Mariana Ines",2
"Bienenstock,Elisa Jayne",PUBSRV,"Bienenstock,Elisa Jayne",1
"Bimonte-Nelson,Heather",CLAS,"Bimonte-Nelson,Heather",7
"Bjork,Robert Eric",CLAS,"Bjork,Robert Eric",1
"Blain Christen,Jennifer Mary",IAFSE,"Blain Christen,Jennifer Mary",4
"Blais,Christopher Raymond",CLAS,"Blais,Christopher Raymond",3
"Blakemore,Arthur E",EVPP,"Blakemore,Arthur E",1
"Blankson,Gerald Kotey",EVPP,"Blankson,Gerald Kotey",1
"Blasingame,James Bryan",CLAS,"Blasingame,James Bryan",1
"Blattman,Joseph Nathan",CLAS,"Blattman,Joseph Nathan",3
"Bliss,Daniel Wesley",IAFSE,"Bliss,Daniel Wesley",4
"Boddy,Amy Marie",CLAS,"Boddy,Amy Marie",1
"Boerner,Rochus",CLAS,"Boerner,Rochus",1
"Boggess,Albert",CLAS,"Boggess,Albert",1
"Boggess,May",CLAS,"Boggess,May",2
"Bolin,Robert",CLAS,"Bolin,Robert",1
"Boltz,Andrea Maria",GIOS,"Boltz,Andrea Maria",1
"Bond,Angela Bowen",CONHI,"Bond,Angela Bowen",0
"Boney,Jennifer Brooke",CLAS,"Boney,Jennifer Brooke",1
"Bonifas,Robin P",PUBSRV,"Bonifas,Robin P",2
"Boone,Christopher G",CLAS,"Boone,Christopher G",5
"Boradkar,Prasad",HIDA,"Boradkar,Prasad",1
"Borden,Steven A.",EVPP,"Borden,Steven A.",1
"Borges,Chad Randolph",CLAS,"Borges,Chad Randolph",2
"Borror,Connie Margaret",ARTS,"Borror,Connie Margaret",1
"Bose,Maitrayee",CLAS,"Bose,Maitrayee",2
"Bowden,Stuart Graham",IAFSE,"Bowden,Stuart Graham",2
"Bowen,Annabell L",EXEC_ADMIN,"Bowen,Annabell L",1
"Bowley,Kenneth S",CLAS,"Bowley,Kenneth S",1
"Bowman,Catherine",CLAS,"Bowman,Catherine",1
"Bowman,Diana Megan",SFIS,"Bowman,Diana Megan",3
"Bowman,Judd David",CLAS,"Bowman,Judd David",6
"Boyd,Aaron Kyle",CLAS,"Boyd,Aaron Kyle",1
"Boyd,Robert",CLAS,"Boyd,Robert",1
"Boyer,Treavor H.",IAFSE,"Boyer,Treavor H.",2
"Bozeman,Barry",PUBSRV,"Bozeman,Barry",2
"Bradley,Robert",CLAS,"Bradley,Robert",2
"Brafman,David Adam",IAFSE,"Brafman,David Adam",5
"Branaghan,Russell Joseph",IAFSE,"Branaghan,Russell Joseph",2
"Branca,Caterina",CLAS,"Branca,Caterina",0
"Branch,Boyd Mathoni",HIDA,"Branch,Boyd Mathoni",2
"Brandt,William R",GIOS,"Brandt,William R",1
"Brashears,William Scott",ARTS,"Brashears,William Scott",1
"Brayboy,Bryan",CLAS,"Brayboy,Bryan",3
